ret,vol,sharpe,w_RELIANCE,w_HDFCBANK,w_ICICIBANK,w_INFY,w_TCS,w_AXISBANK,w_BAJFINANCE,w_DRREDDY,w_HINDUNILVR,w_ITC,w_MARUTI,w_ONGC,w_SUNPHARMA,w_WIPRO
0.10380691799410142,0.1473006474329023,0.2634538182310337,0.0,0.0,0.17148349648679206,0.09392913062519845,0.16788886963242902,0.03327782730587821,0.03266711117770899,0.1317193954304181,0.01192496340728612,0.04889121520086848,0.02698037705778041,0.1519027045640503,0.10873873783987964,0.020596171271710137
0.10473519528255833,0.1474686163271613,0.2694484851909454,6.420108301925029e-19,8.5306461388000795e-19,0.17187079959862092,0.09149712786095399,0.16642755971936254,0.03595078081900362,0.03373115521892103,0.1302835473997739,0.011338490330946343,0.04922185760857969,0.028009047456516386,0.15457208994432264,0.1068066854949575,0.020290858548041288
0.10566347257100411,0.1476451649077179,0.27541350640516976,8.07030253118804e-18,2.151153160205578e-19,0.1722697306910995,0.08906257231530014,0.16497825698166801,0.03861708082557262,0.03479251818499333,0.12884257174144653,0.010758882581257742,0.04954713361675776,0.029038816661120646,0.15724545649889873,0.1048693659297568,0.019977613972128022
0.10659174985940598,0.14783026294333848,0.2813480070406665,0.0,1.3472886080490461e-18,0.1726586344971811,0.08662927101685017,0.16351840250855587,0.04128706419882148,0.0358553947201707,0.12740766311687787,0.01017157605893575,0.04988058098880228,0.030066823274157557,0.15991572469559287,0.10293735759224973,0.019671507331804516
0.10752002714785244,0.14802387820100757,0.2872511358614236,2.149945851676835e-18,1.285641774167223e-18,0.17305026198818915,0.0841939478065791,0.16206172004068348,0.04395195894501522,0.036918038600718385,0.12597230147235036,0.009584032219381464,0.05021826621582789,0.03109427933397392,0.16258681054572827,0.10100433303553745,0.019364049796015217
0.10844830443627751,0.14822597704793106,0.2931220647122323,2.7698682847079322e-18,1.0477841841401388e-19,0.1734358451834734,0.08176211672373082,0.16059919070140735,0.04662670001078822,0.03798087169118407,0.12453837381832351,0.008997333652001185,0.0505489515247758,0.03212347448823543,0.16525572155359275,0.09907289566928251,0.019058524983204775
0.10937658172468735,0.14843652491853543,0.2989599881096785,2.853712877523174e-19,6.517121737434086e-19,0.17382710669646653,0.07933087082246797,0.15914604229705184,0.04929805117670956,0.039043342879550545,0.12310026775972488,0.00841480682367024,0.0508752148038916,0.03315300952281983,0.16792826412646714,0.09713716354556123,0.018745859545618672
0.11030485901313415,0.148655486155964,0.30476412397993785,1.3947185092773577e-18,0.0,0.17421403098275676,0.07689500463104773,0.15768570834608095,0.05196285918714575,0.040109991733166366,0.12166328928891126,0.007832444999970708,0.051205608824662324,0.034185319032110265,0.17060075991513796,0.09520332480506688,0.018441658253943057
0.11123313630155726,0.14888282330214261,0.31053371554979037,0.0,1.822854308271251e-18,0.17460171413032594,0.07446298946473984,0.15622552426369724,0.05463699614929038,0.04117309497845558,0.12022801746079582,0.00724671422543092,0.05153434041369823,0.03521433107527715,0.17327053218965438,0.09327078184214795,0.018134963806486475
0.11216141358995954,0.1491184982085098,0.3162680294970149,0.0,0.0,0.17498948405139123,0.07203258467829786,0.15476631379886138,0.05731330010347816,0.042234389216331304,0.11879454230383062,0.0066584666810258425,0.05186350283952205,0.03624152960072733,0.17594070142416948,0.09133888449456314,0.017826300807801482
